instance,method,parameter,value,run,seed,makespan,decode_calls,time,optimum
ft20,vns,kmax,2,9,9007,1241,200000,4.860605916001077,1165
ft20,vns,kmax,5,0,7,1246,200000,4.958888765000665,1165
ft20,vns,kmax,5,1,1007,1272,200000,5.515854589999435,1165
ft20,vns,kmax,5,2,2007,1320,200000,5.025131320999208,1165
ft20,vns,kmax,5,3,3007,1251,200000,4.949379356999998,1165
ft20,vns,kmax,5,4,4007,1256,200000,4.685124458001155,1165
ft20,vns,kmax,5,5,5007,1258,200000,4.934031249998952,1165
ft20,vns,kmax,5,6,6007,1278,200000,4.9984803139996075,1165
ft20,vns,kmax,5,7,7007,1261,200000,4.791139245000522,1165
ft20,vns,kmax,5,8,8007,1286,200000,4.762874850999651,1165
ft20,vns,kmax,5,9,9007,1208,200000,4.668078767999759,1165
ft20,vns,kmax,10,0,7,1246,200000,4.7707840650000435,1165
ft20,vns,kmax,10,1,1007,1272,200000,4.94596006699976,1165
ft20,vns,kmax,10,2,2007,1326,200000,4.858908865999183,1165
ft20,vns,kmax,10,3,3007,1251,200000,5.152621464001641,1165
ft20,vns,kmax,10,4,4007,1256,200000,5.28434781499891,1165
ft20,vns,kmax,10,5,5007,1258,200000,5.274474241999997,1165
ft20,vns,kmax,10,6,6007,1278,200000,5.273825264001061,1165
ft20,vns,kmax,10,7,7007,1257,200000,5.48693560799984,1165
ft20,vns,kmax,10,8,8007,1286,200000,5.388906873000451,1165
ft20,vns,kmax,10,9,9007,1208,200000,4.829201300999557,1165
ft20,vns,kmax,20,0,7,1246,200000,5.159339107000051,1165
ft20,vns,kmax,20,1,1007,1272,200000,4.84352674100046,1165
ft20,vns,kmax,20,2,2007,1326,200000,4.919774064001103,1165
ft20,vns,kmax,20,3,3007,1251,200000,4.776707988999988,1165
ft20,vns,kmax,20,4,4007,1256,200000,4.970516094001141,1165
ft20,vns,kmax,20,5,5007,1258,200000,4.793616023998766,1165
ft20,vns,kmax,20,6,6007,1278,200000,4.96719393300009,1165
ft20,vns,kmax,20,7,7007,1257,200000,4.858286427999701,1165
ft20,vns,kmax,20,8,8007,1286,200000,4.595171509001375,1165
ft20,vns,kmax,20,9,9007,1208,200000,4.60992910800087,1165
ft20,ga,population_size,20,0,7,1227,200001,12.303213051000057,1165
ft20,ga,population_size,20,1,1007,1220,200001,12.424546008000107,1165
ft20,ga,population_size,20,2,2007,1290,200001,13.215883622999172,1165
ft20,ga,population_size,20,3,3007,1254,200001,13.143787740000334,1165
ft20,ga,population_size,20,4,4007,1205,200001,12.635636691999025,1165
ft20,ga,population_size,20,5,5007,1254,200001,12.03338794100091,1165
ft20,ga,population_size,20,6,6007,1235,200001,11.964279429999806,1165
ft20,ga,population_size,20,7,7007,1249,200001,12.137764822999088,1165
ft20,ga,population_size,20,8,8007,1203,200001,12.624646475998816,1165
ft20,ga,population_size,20,9,9007,1195,200001,12.321732517000783,1165
ft20,ga,population_size,50,0,7,1221,200001,12.85654184699888,1165
ft20,ga,population_size,50,1,1007,1196,200001,12.63929311299944,1165
ft20,ga,population_size,50,2,2007,1238,200001,12.559129658999154,1165
ft20,ga,population_size,50,3,3007,1240,200001,12.418992572000207,1165
ft20,ga,population_size,50,4,4007,1295,200001,12.302333710000312,1165
ft20,ga,population_size,50,5,5007,1185,200001,12.527750625000408,1165
ft20,ga,population_size,50,6,6007,1216,200001,12.397244533998673,1165
ft20,ga,population_size,50,7,7007,1233,200001,12.79873335999946,1165
ft20,ga,population_size,50,8,8007,1224,200001,12.716725811998913,1165
ft20,ga,population_size,50,9,9007,1244,200001,12.705587558000843,1165
ft20,ga,population_size,100,0,7,1220,200021,13.058609298999727,1165
ft20,ga,population_size,100,1,1007,1202,200021,13.537371008998889,1165
ft20,ga,population_size,100,2,2007,1206,200021,13.21908511500078,1165
ft20,ga,population_size,100,3,3007,1221,200021,13.075736189000963,1165
ft20,ga,population_size,100,4,4007,1249,200021,13.666182635999576,1165
ft20,ga,population_size,100,5,5007,1235,200021,13.14492361700104,1165
ft20,ga,population_size,100,6,6007,1252,200021,13.564027832999273,1165
ft20,ga,population_size,100,7,7007,1205,200021,13.190412848998676,1165
ft20,ga,population_size,100,8,8007,1231,200021,13.257064905001243,1165
ft20,ga,population_size,100,9,9007,1246,200021,13.712511997000547,1165
ft20,ga,population_size,200,0,7,1196,200121,15.104507048999949,1165
ft20,ga,population_size,200,1,1007,1202,200121,14.909041299000819,1165
ft20,ga,population_size,200,2,2007,1271,200121,14.56547989200044,1165
ft20,ga,population_size,200,3,3007,1307,200121,15.03965385400079,1165
ft20,ga,population_size,200,4,4007,1219,200121,15.395758852000654,1165
ft20,ga,population_size,200,5,5007,1273,200121,15.6948492169995,1165
ft20,ga,population_size,200,6,6007,1240,200121,16.636007838000296,1165
ft20,ga,population_size,200,7,7007,1282,200121,17.067284518001543,1165
ft20,ga,population_size,200,8,8007,1300,200121,16.072069017000103,1165
ft20,ga,population_size,200,9,9007,1233,200121,16.64528052300011,1165
ft20,ga,p,0.1,0,7,1269,200001,14.75785974199971,1165
